T,K,Price
0.119047619,958.615,8.55
0.119047619,1006.546,0.31
0.119047619,1054.477,0.01
0.238095238,958.615,13.15
0.238095238,1006.546,1.5
0.238095238,1054.477,0.18
0.238095238,1102.407,0.02
0.357142857,958.615,17.55
0.357142857,1006.546,3.43
0.357142857,1054.477,0.61
0.357142857,1102.407,0.1
0.476190476,958.615,21.69
0.476190476,1006.546,5.88
0.476190476,1054.477,1.37
0.476190476,1102.407,0.3
0.595238095,958.615,25.3
0.595238095,1006.546,8.41
0.595238095,1054.477,2.37
0.595238095,1102.407,0.62
0.595238095,1150.338,0.17
0.714285714,958.615,29.12
0.714285714,1006.546,11.36
0.714285714,1054.477,3.77
0.714285714,1102.407,1.14
0.714285714,1150.338,0.35
